shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_13,43.4582519796462,-3.82783460925598,389,5548
Route_13,43.4581334141211,-3.8280431242773,390,5569
Route_13,43.4580405149761,-3.82843740013808,391,5603
Route_13,43.4580112652869,-3.82874601923764,392,5628
Route_13,43.4578535470477,-3.82938662147396,393,5683
Route_13,43.4574033188188,-3.83062888840709,394,5795
Route_13,43.4573107701855,-3.8309737179732,395,5825
Route_13,43.4573013176066,-3.83103539147655,396,5830
Route_13,43.4573006886496,-3.83112190703718,397,5837
Route_13,43.4572548630777,-3.83123252449673,398,5847
Route_13,43.4571915699255,-3.83126873896813,399,5855
Route_13,43.4571372801252,-3.83130507674061,400,5861
Route_13,43.4570375240849,-3.83140259410073,401,5875
Route_13,43.4568926612492,-3.83151185340391,402,5893
Route_13,43.4567474386641,-3.83167054919433,403,5914
Route_13,43.4566656890416,-3.83176831221703,404,5926
Route_13,43.4565382030001,-3.83196433135714,405,5947
Route_13,43.4564280935533,-3.8322471109637,406,5973
Route_13,43.4564172904072,-3.83249417109018,407,5993
Route_13,43.456361830027,-3.83269117651501,408,6010
Route_13,43.4562352428008,-3.83276360128834,409,6026
Route_13,43.4561362958538,-3.83274988269669,410,6037
Route_13,43.4560286156193,-3.83269896326436,411,6049
Route_13,43.4559479454454,-3.83264841472513,412,6059
Route_13,43.4559040087576,-3.83249948795797,413,6072
Route_13,43.4558868119982,-3.83238800920188,414,6081
Route_13,43.4557605849337,-3.83241099786772,415,6096
Route_13,43.4554797705903,-3.83264198916148,416,6132
Route_13,43.4552798059632,-3.83289880863028,417,6162
Route_13,43.4551140525096,-3.8334032992478,418,6207
Route_13,43.4548183720002,-3.83443748513931,419,6297
Route_13,43.4543103641254,-3.83618561629901,420,6449
Route_13,43.4542725424726,-3.83643229460405,421,6470
Route_13,43.4542208306214,-3.83734621933137,422,6544
Route_13,43.4542822570566,-3.83879318482955,423,6661
Route_13,43.4547268109329,-3.84078930240858,424,6830
Route_13,43.4548041131604,-3.84129713723975,425,6872
Route_13,43.4547935634516,-3.84150711237822,426,6889
Route_13,43.4545872968764,-3.84261665518686,427,6982
Route_13,43.4542978912864,-3.84400931386066,428,7099
Route_13,43.4541951124635,-3.84451464250467,429,7141
Route_13,43.4539507920069,-3.8458955518002,430,7256
Route_13,43.4536053723591,-3.84633569020378,431,7309
Route_13,43.4531965615269,-3.84682437794363,432,7369
Route_13,43.4525963882719,-3.84761937765565,433,7461
Route_13,43.4516058554363,-3.84884148363479,434,7609
Route_13,43.4513882153478,-3.84904854855978,435,7639
Route_13,43.4510809087832,-3.84920491971328,436,7675
Route_13,43.4506378174548,-3.84945826251532,437,7728
Route_13,43.450411723993,-3.84959104846766,438,7756
Route_13,43.4503209559109,-3.84968865096252,439,7769
Route_13,43.4502022590742,-3.84990945351255,440,7791
Route_13,43.4494322754364,-3.85174015848235,441,7962
Route_13,43.4493130220884,-3.85203509978932,442,7989
Route_13,43.4491662973169,-3.8523914487576,443,8022
Route_13,43.4490298651497,-3.85257491593186,444,8043
Route_13,43.4490381311499,-3.85267390334705,445,8052
Route_13,43.4490016569706,-3.85273518534124,446,8058
Route_13,43.4489563637981,-3.85277162553789,447,8064
Route_13,43.4489547965177,-3.85298170469065,448,8081
Route_13,43.4488890987533,-3.85333918870944,449,8111
Route_13,43.4486658199892,-3.85430003792293,450,8192
Route_13,43.4485333984131,-3.85515093133899,451,8263
Route_13,43.4483411185997,-3.85677957900791,452,8396
Route_13,43.4482651084399,-3.85730993215398,453,8440
Route_13,43.4481905793083,-3.85764256512405,454,8468
Route_13,43.4476420244336,-3.85994587527891,455,8664
Route_13,43.4476176007629,-3.86079827390163,456,8733
Route_13,43.4475862161654,-3.86137868351502,457,8780
Route_13,43.4475827702032,-3.86183590324062,458,8817
Route_13,43.4476224745108,-3.86254090844371,459,8874
Route_13,43.4476726705781,-3.86304832573031,460,8916
Route_13,43.4478038007685,-3.86356925422052,461,8960
Route_13,43.4478383202638,-3.86376748406554,462,8977
Route_13,43.4478642096584,-3.86391615659389,463,8989
Route_13,43.447890192258,-3.86405247190206,464,9001
Route_13,43.4479246174893,-3.86426305964203,465,9018
Route_13,43.4479596964093,-3.86438714611595,466,9029
Route_13,43.4480317228158,-3.86438817206292,467,9037
Route_13,43.4480947459207,-3.86438906976964,468,9044
Route_13,43.4481301050406,-3.864476084489,469,9052
Route_13,43.448156460793,-3.8645629710389,470,9060
Route_13,43.448128796679,-3.86464908796588,471,9067
Route_13,43.4480652127735,-3.86472233425484,472,9076
Route_13,43.4480290126282,-3.86474653582247,473,9081
Route_13,43.4479732165828,-3.86498055585645,474,9101
Route_13,43.4478342389597,-3.86549763872576,475,9145
Route_13,43.4477138272495,-3.86594083235016,476,9184
