stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
32769,PA128,FERNANDO CALDERÓN RUEDA 6,Parada,43.4703914104589,-3.78909287035677,,,,,Europe/Madrid
82945,PA324,PLAZA DE SAN MARTIN,Parada,43.4636761734586,-3.78771577887625,,,,,Europe/Madrid
26369,PA103,LAS ESTACIONES,Parada,43.4590395466482,-3.81066387970193,,,,,Europe/Madrid
26625,PA104,CALLE CASTILLA 27,Parada,43.4574236833159,-3.81276312228878,,,,,Europe/Madrid
26881,PA105,CALLE CASTILLA 51,Parada,43.455683372451,-3.81744363127729,,,,,Europe/Madrid
27137,PA106,CALLE CASTILLA 71,Parada,43.4544951970537,-3.82069474810328,,,,,Europe/Madrid
27393,PA107,CALLE CASTILLA 64,Parada,43.4530692002113,-3.8248471172328,,,,,Europe/Madrid
24065,PA94,LA LONJA,Parada,43.4532137848713,-3.82102287025773,,,,,Europe/Madrid
24321,PA95,MARQUES DE LA HERMIDA 36,Parada,43.4539537785206,-3.81833224220194,,,,,Europe/Madrid
24577,PA96,BARRIO PESQUERO,Parada,43.4520869472115,-3.81868106322685,,,,,Europe/Madrid
24833,PA97,PARQUE VARADERO,Parada,43.4539673031316,-3.81802775259899,,,,,Europe/Madrid
82177,PA321,MARQUES DE LA HERMIDA 15,Parada,43.4547560424457,-3.81538579043584,,,,,Europe/Madrid
25089,PA98,MARQUES DE LA HERMIDA 1,Parada,43.4556208390444,-3.81221983841514,,,,,Europe/Madrid
69889,PA273,ESTACIONES,Parada,43.4592578176515,-3.8105485019264,,,,,Europe/Madrid
16897,PA66,PLAZA BRISAS,Parada,43.4737873707775,-3.78522078210595,,,,,Europe/Madrid
17153,PA67,LOS CASTROS 20,Parada,43.4732967704259,-3.78794980965656,,,,,Europe/Madrid
17409,PA68,LOS CASTROS 38,Parada,43.4726186895926,-3.79154292163359,,,,,Europe/Madrid
25601,PA100,LOS CASTROS 39,Parada,43.4724185762151,-3.79200357642641,,,,,Europe/Madrid
25857,PA101,LOS CASTROS 23,Parada,43.4732106603998,-3.78782344480187,,,,,Europe/Madrid
132097,PA516,INTERCAMBIADOR SARDINERO,Parada,43.4776516720338,-3.79126056797857,,,,,Europe/Madrid
49665,PA194,INSTITUTO LAS LLAMAS,Parada,43.4732014157576,-3.79320975710979,,,,,Europe/Madrid
43777,PA171,ALCALDE VEGA LAMERA 1,Parada,43.473101417255,-3.79334692368064,,,,,Europe/Madrid
68609,PA268,MERCADO MEJICO,Parada,43.4580457188913,-3.82512825142965,,,,,Europe/Madrid
68865,PA269,CALLE ALTA 109,Parada,43.4583138146042,-3.82165999533296,,,,,Europe/Madrid
69121,PA270,CALLE ALTA 81,Parada,43.4587442930766,-3.81770638501634,,,,,Europe/Madrid
69377,PA271,CALLE ALTA 45,Parada,43.459582080526,-3.81515523000108,,,,,Europe/Madrid
69633,PA272,MONTE CALOCA,Parada,43.4607569753161,-3.81226833765021,,,,,Europe/Madrid
3329,PA13,AYUNTAMIENTO,Parada,43.461394307573,-3.80995712571358,,,,,Europe/Madrid
37377,PA146,CATEDRAL,Parada,43.4613477817518,-3.80715268598989,,,,,Europe/Madrid
67073,PA262,ESCOLAPIOS,Parada,43.4644114735017,-3.79476489970099,,,,,Europe/Madrid
67329,PA263,CANALEJAS 26,Parada,43.4647796897324,-3.79116455785875,,,,,Europe/Madrid
67585,PA264,CANALEJAS 42,Parada,43.464989278747,-3.78956700906051,,,,,Europe/Madrid
132609,PA518,CANALEJAS 90,Parada,43.4676635730951,-3.78740843490552,,,,,Europe/Madrid
34305,PA134,LOS PINARES,Parada,43.471312798059,-3.78767218349061,,,,,Europe/Madrid
33025,PA129,PLAZA DE ITALIA CASINO,Parada,43.4719898247437,-3.78217794104126,,,,,Europe/Madrid
33281,PA130,REINA VICTORIA 117,Parada,43.4698073879628,-3.77741099163149,,,,,Europe/Madrid
33537,PA131,LAS ESCLAVAS,Parada,43.4674478895198,-3.77938497969195,,,,,Europe/Madrid
33793,PA132,PEREZ GALDÓS 17,Parada,43.4663726660597,-3.78482423938283,,,,,Europe/Madrid
132865,PA519,CANALEJAS 93,Parada,43.4673545793651,-3.78733840622336,,,,,Europe/Madrid
128513,PA502,BARRIO CAMINO 27,Parada,43.4663630066211,-3.78826965305722,,,,,Europe/Madrid
128769,PA503,CENTRO DE SALUD,Parada,43.4662431055646,-3.79049689162061,,,,,Europe/Madrid
129025,PA504,TETUAN 41,Parada,43.4659446665449,-3.79347606487694,,,,,Europe/Madrid
111105,PA434,CALLE ALTA 28,Parada,43.4602340552016,-3.81231238694926,,,,,Europe/Madrid
109825,PA429,CALLE ALTA 46,Parada,43.4596159946119,-3.81537435309569,,,,,Europe/Madrid
110081,PA430,CALLE ALTA 56,Parada,43.4589301559322,-3.81742730843721,,,,,Europe/Madrid
110337,PA431,CALLE ALTA 80,Parada,43.4584147823925,-3.82158064674459,,,,,Europe/Madrid
110593,PA432,CALLE ARGENTINA 7,Parada,43.4572119993242,-3.82346949341097,,,,,Europe/Madrid
110849,PA433,PLAZA DE TOROS,Parada,43.4566761506719,-3.82660177929802,,,,,Europe/Madrid
67841,PA265,PEREZ GALDÓS 4,Parada,43.4666655380811,-3.78629706695834,,,,,Europe/Madrid
68097,PA266,PEREZ GALDÓS 18,Parada,43.4663643949287,-3.78383810321101,,,,,Europe/Madrid
68353,PA267,PEREZ GALDÓS 36,Parada,43.4672335042257,-3.77996499874158,,,,,Europe/Madrid
23553,PA92,JERONIMO SAINZ DE LA MAZA,Parada,43.4562488378583,-3.82700854657328,,,,,Europe/Madrid
114689,PA448,VALDECILLA SUR,Parada,43.4546429694979,-3.82759996215531,,,,,Europe/Madrid
23809,PA93,CANDINA,Parada,43.4530693803194,-3.82823455237575,,,,,Europe/Madrid
75009,PA293,AVENIDA PARAYAS 14,Parada,43.4491780418386,-3.83081055583278,,,,,Europe/Madrid
75265,PA294,AVENIDA PARAYAS 28,Parada,43.4468928821026,-3.83250142451018,,,,,Europe/Madrid
75521,PA295,AVENIDA PARAYAS 32,Parada,43.4448393688424,-3.83400825011761,,,,,Europe/Madrid
75777,PA296,ABILIO GARCIA BARON 1,Parada,43.4427937343744,-3.83743817938674,,,,,Europe/Madrid
76289,PA298,FRANCISCO TOMAS Y VALIENTE 7,Parada,43.4393233217701,-3.84089485091296,,,,,Europe/Madrid
76545,PA299,BARTOLOMÉ DARNIS,Parada,43.4399412463155,-3.84263673572747,,,,,Europe/Madrid
76801,PA300,COLEGIO NUEVA MONTAÑA,Parada,43.4392658930877,-3.84466650005665,,,,,Europe/Madrid
77057,PA301,SANTIAGO EL MAYOR 10,Parada,43.4396484921529,-3.84718449612826,,,,,Europe/Madrid
126721,PA495,EUSEBIO SANTAMARIA 2,Parada,43.4412002467566,-3.8514324791693,,,,,Europe/Madrid
126977,PA496,EUSEBIO SANTAMARIA,Parada,43.4387479076102,-3.85315052530065,,,,,Europe/Madrid
127233,PA497,CARMEN BRAVO VILLASANTE,Parada,43.4395992156514,-3.85527775927626,,,,,Europe/Madrid
127489,PA498,CARMEN BRAVO VILLASANTE 1,Parada,43.4424803995882,-3.85324216149254,,,,,Europe/Madrid
77313,PA302,SAN MARTÍN DEL PINO 24,Parada,43.4444936875803,-3.85195953010646,,,,,Europe/Madrid
77569,PA303,SAN MARTÍN DEL PINO 23,Parada,43.4455875831897,-3.84823455101266,,,,,Europe/Madrid
77825,PA304,INSTITUTOS,Parada,43.4467534020757,-3.85133081747275,,,,,Europe/Madrid
46593,PA182,COMPLEJO RUTH BEITIA,Parada,43.4601703741246,-3.85348180739256,,,,,Europe/Madrid
46849,PA183,POLIDEPORTIVO,Parada,43.4595936039545,-3.85595702906461,,,,,Europe/Madrid
47105,PA184,CRUCE VICENTE TRUEBA,Parada,43.4558105320172,-3.85629683266758,,,,,Europe/Madrid
61697,PA241,CARDENAL HERRERA ORIA 119,Parada,43.4549133546633,-3.85493642371332,,,,,Europe/Madrid
47361,PA185,CARDENAL HERRERA ORIA 95,Parada,43.4562035062655,-3.85061228341574,,,,,Europe/Madrid
121089,PA473,RICARDO LEON,Parada,43.4556378331344,-3.84875006677684,,,,,Europe/Madrid
47617,PA186,CARDENAL HERRERA ORIA 51,Parada,43.4577359967397,-3.84589641631559,,,,,Europe/Madrid
47873,PA187,CARDENAL HERRERA ORIA 31,Parada,43.4584459752381,-3.8431793943154,,,,,Europe/Madrid
48129,PA188,CARDENAL HERRERA ORIA 23,Parada,43.458738298103,-3.83871783957367,,,,,Europe/Madrid
48385,PA189,CARDENAL HERRERA ORIA 17,Parada,43.4589600384358,-3.8359812280909,,,,,Europe/Madrid
