route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
61,24061ILA_6101,24061ILA_6101_7,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_8,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_9,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_10,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_11,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_12,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_13,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_14,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_15,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6101,24061ILA_6101_16,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_2,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_3,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_4,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_5,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_6,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_7,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_8,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_9,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_10,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_11,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_12,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_13,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_14,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_15,COMPLEJO DEPORTIVO,0,,Route_366
61,24061ILA_6102,24061ILA_6102_16,COMPLEJO DEPORTIVO,0,,Route_366
62,24062ILA_6201,24062ILA_6201_2,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_3,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_4,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_5,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_6,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_7,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_8,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_9,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_10,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_11,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_12,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_13,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6201,24062ILA_6201_14,COMPLEJO RUTH BEITIA,0,,Route_367
62,24062ILA_6202,24062ILA_6202_2,COMPLEJO RUTH BEITIA,0,,Route_367
